file,ssim,ms_ssim,psnr,vif_p,vsi,fsim,gmsd,ms_gmsd,haarpsi,mdsi
2007_007908_OnePixel_(50, 40).png,0.9961281,0.9987726,43.87541,0.97642547,0.99955666,0.9990489,0.018595822,0.016602827,0.99727803,0.14600204
2007_007955_OnePixel_(10, 40).png,0.9991249,0.9997837,53.178833,0.99624556,0.9999613,0.99976605,0.007297925,0.006782656,0.9996885,0.094259016
2007_007955_OnePixel_(100, 50).png,0.994004,0.99867076,43.3914,0.96896243,0.99974537,0.99897474,0.013197323,0.013458517,0.9965679,0.13457675
2007_007955_OnePixel_(50, 40).png,0.9961004,0.9989812,44.995995,0.9808773,0.99982655,0.9993533,0.013031546,0.012453919,0.9981524,0.12758133
2007_008430_OnePixel_(10, 40).png,0.99874777,0.99943626,50.473194,0.9929173,0.999884,0.99982756,0.010644116,0.00948618,0.99934185,0.11323777
2007_008430_OnePixel_(100, 50).png,0.99142706,0.99704075,41.656036,0.9412996,0.9992486,0.9981168,0.025914468,0.023367116,0.99473006,0.17322439
2007_008430_OnePixel_(50, 40).png,0.99533814,0.99829185,44.707336,0.9718298,0.99963397,0.9990202,0.015395411,0.01456763,0.9981737,0.13822304
2007_008714_OnePixel_(10, 40).png,0.998914,0.9995488,52.48323,0.98873,0.99995106,0.99942714,0.0072144293,0.0068501905,0.9996125,0.09983427
2007_008714_OnePixel_(100, 50).png,0.99162483,0.9970421,43.492058,0.9321785,0.99969256,0.9978226,0.013022742,0.013427126,0.9945914,0.14025964
2007_008714_OnePixel_(300, 80).png,0.976789,0.9923536,39.391106,0.8345923,0.9991147,0.99418324,0.021356188,0.022146877,0.9895805,0.18091871
2007_008714_OnePixel_(50, 40).png,0.9959437,0.99868673,46.673313,0.96166974,0.999789,0.99885505,0.009729731,0.010092212,0.9983386,0.122606955
2007_008764_OnePixel_(10, 40).png,0.9992734,0.9998063,53.590614,0.99607766,0.99995667,0.9998764,0.004426467,0.0046402756,0.99981904,0.08131435
2007_008764_OnePixel_(100, 50).png,0.99332905,0.9981873,43.378815,0.9638744,0.99976236,0.9992573,0.012585793,0.013001067,0.99736506,0.13438313
2007_008764_OnePixel_(50, 40).png,0.9967636,0.99904174,46.108826,0.9787871,0.9998809,0.99965787,0.008152507,0.008765738,0.9986921,0.114306696
2007_008944_OnePixel_(10, 40).png,0.99934244,0.99982375,53.73879,0.9962755,0.9999472,0.99980783,0.004367035,0.0045567323,0.9996865,0.08172521
2007_008944_OnePixel_(100, 50).png,0.9945036,0.9985184,43.45836,0.97027636,0.9997025,0.99924695,0.008679203,0.009939062,0.9965408,0.12538719
2007_008944_OnePixel_(50, 40).png,0.99682665,0.9990956,46.621292,0.9849568,0.9998166,0.9996528,0.007670117,0.00790996,0.99840075,0.10973506
2007_008948_OnePixel_(10, 40).png,0.99904335,0.9997072,53.660618,0.9942637,0.9999219,0.9998464,0.006917816,0.006680904,0.99954826,0.094365105
2007_008948_OnePixel_(100, 50).png,0.99224997,0.9976454,42.390575,0.95376974,0.9992777,0.99869984,0.020651093,0.01937435,0.99459344,0.16216382
2007_008948_OnePixel_(50, 40).png,0.99592704,0.9987053,45.18164,0.9724526,0.9996778,0.9993757,0.01410998,0.013625579,0.9973186,0.13602145
2007_009446_OnePixel_(10, 40).png,0.9988427,0.9995033,50.748123,0.99208784,0.9998887,0.99972063,0.010116404,0.00900947,0.99937093,0.10813129
2007_009446_OnePixel_(100, 50).png,0.99122304,0.99697465,41.51265,0.9387354,0.99934983,0.99771166,0.02588631,0.023442233,0.9945491,0.17439272
2007_009446_OnePixel_(50, 40).png,0.99540186,0.9981868,43.719208,0.96722084,0.99957937,0.9987784,0.018651865,0.016954215,0.99676514,0.14788184
2007_009654_OnePixel_(10, 40).png,0.9989409,0.9995786,52.21692,0.99303925,0.99995506,0.9998406,0.007997664,0.0073846467,0.99954826,0.09741047
2007_009654_OnePixel_(100, 50).png,0.99136704,0.99709433,42.324486,0.93901795,0.99958706,0.9982645,0.019846402,0.018919883,0.99392647,0.15767448
2007_009654_OnePixel_(50, 40).png,0.9959592,0.9987664,45.20159,0.97245705,0.9997676,0.99909085,0.013949655,0.0131922085,0.99686176,0.13161083
2007_009709_OnePixel_(10, 40).png,0.99903727,0.9995362,50.4492,0.9945018,0.9998916,0.9998479,0.009742231,0.008656929,0.9996729,0.10538303
2007_009709_OnePixel_(100, 50).png,0.9913146,0.99692965,40.825314,0.9542736,0.9993463,0.99818903,0.02877997,0.025590112,0.9937519,0.18080923
2007_009709_OnePixel_(50, 40).png,0.9950868,0.9979719,43.22383,0.9726593,0.9996588,0.99916655,0.022970377,0.020188546,0.99764603,0.16160822
2008_000016_OnePixel_(10, 40).png,0.9992101,0.9997408,54.557373,0.99603313,0.99995494,0.9999203,0.0062229303,0.0059748446,0.999825,0.09008773
2008_000016_OnePixel_(100, 50).png,0.9917153,0.99721193,42.167057,0.957294,0.9995015,0.99862117,0.020810274,0.019458476,0.9963147,0.15969063
2008_000016_OnePixel_(50, 40).png,0.99615884,0.99880576,45.473995,0.97771734,0.9997586,0.99926513,0.013710995,0.013053236,0.99842,0.13173649
2008_000318_OnePixel_(10, 40).png,0.99934906,0.99979794,54.29882,0.9964677,0.99997807,0.9999481,0.004458568,0.004686601,0.9996983,0.07876983
2008_000318_OnePixel_(100, 50).png,0.9946703,0.99867535,43.23921,0.9674439,0.9997873,0.99935335,0.010650637,0.0117526995,0.9962588,0.12812957
2008_000318_OnePixel_(50, 40).png,0.9965775,0.99900573,45.725517,0.9790296,0.99986005,0.9995017,0.009822833,0.010276035,0.9979834,0.118822254
